min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.4,5,2,0,5000,0,0
0.4,5,2,1,5000,0,0
0.4,5,2,2,5000,0,0
0.4,5,2,3,5000,0,0
0.4,5,3,0,5000,0,0
0.4,5,3,1,5000,0,0
0.4,5,3,2,5000,0,0
0.4,5,3,3,5000,0,0
0.4,5,4,0,5000,0,0
0.4,5,4,1,5000,0,0
0.4,5,4,2,5000,0,1
0.4,5,4,3,5000,0,1
0.4,5,5,0,5000,0,0
0.4,5,5,1,5000,0,0
0.4,5,5,2,5000,0,0
0.4,5,5,3,5000,0,0
0.4,5,6,0,5000,0,41
0.4,5,6,1,5000,0,4
0.4,5,6,2,5000,0,0
0.4,5,6,3,5000,0,0
0.4,5,7,0,2331,2,70
0.4,5,7,1,4806,6,98
0.4,5,7,2,5000,1,74
0.4,5,7,3,5000,0,40
0.4,5,8,0,1432,1,46
0.4,5,8,1,2472,2,58
0.4,5,8,2,3848,3,87
0.4,5,8,3,5000,1,100
0.4,5,9,0,1068,1,44
0.4,5,9,1,1307,1,46
0.4,5,9,2,1902,2,67
0.4,5,9,3,2695,3,79
0.4,5,10,0,482,0,14
0.4,5,10,1,578,0,14
0.4,5,10,2,936,0,21
0.4,5,10,3,-1,0,21
